id,text
1,"This is a simple sentence written by a human."
2,"The evolution of artificial intelligence has led to remarkable advancements in natural language processing."
3,"Hello! How can I assist you today?"
4,"Recent studies have shown that transformer-based models excel in various text classification tasks."
5,"AI-generated content often exhibits a high level of coherence but may lack deep contextual understanding."
6,"Artificial intelligence is revolutionizing many industries, including healthcare and finance."
7,"The quick brown fox jumps over the lazy dog."
8,"This essay explores the implications of machine-generated text on academic integrity."
9,"Large language models can generate highly realistic text, making AI detection an important field of research."
10,"Thank you for using this AI detection tool!"
